Año;Mes;Centro;Visitantes;fecha
2020;Agosto;PALACIO DE QUINTANAR;419;2020-08
2020;Agosto;CENTRO CULTURAL MIGUEL DELIBES (programación propia);0;2020-08
2020;Agosto;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;8825;2020-08
2020;Agosto;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);34011;2020-08
2020;Agosto;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;5734;2020-08
2020;Agosto;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);2292;2020-08
2020;Agosto;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);1788;2020-08
2020;Septiembre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;2097;2020-09
2020;Septiembre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);1527;2020-09
2020;Septiembre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);13840;2020-09
2020;Septiembre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;1648;2020-09
2020;Septiembre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);1124;2020-09
2020;Septiembre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);1782;2020-09
2020;Septiembre;PALACIO DE QUINTANAR;776;2020-09
2020;Septiembre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2488;2020-09
2020;Octubre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);1484;2020-10
2020;Octubre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;2224;2020-10
2020;Octubre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);1169;2020-10
2020;Octubre;PALACIO DE QUINTANAR;606;2020-10
2020;Octubre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);1001;2020-10
2020;Octubre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);1636;2020-10
2020;Octubre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);15379;2020-10
2020;Octubre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;726;2020-10
2020;Noviembre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);2953;2020-11
2020;Noviembre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);1388;2020-11
2020;Noviembre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);1747;2020-11
2020;Noviembre;PALACIO DE QUINTANAR;726;2020-11
2020;Noviembre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);2387;2020-11
2020;Noviembre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;181;2020-11
2020;Noviembre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;626;2020-11
2020;Noviembre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2176;2020-11
2020;Diciembre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);706;2020-12
2020;Diciembre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);1480;2020-12
2020;Diciembre;PALACIO DE QUINTANAR;1138;2020-12
2020;Diciembre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);3819;2020-12
2020;Diciembre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;202;2020-12
2020;Diciembre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);6189;2020-12
2020;Diciembre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);2973;2020-12
2020;Diciembre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;77;2020-12
2021;Enero;CENTRO CULTURAL MIGUEL DELIBES (programación propia);1004;2021-01
2021;Enero;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;24;2021-01
2021;Enero;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);437;2021-01
2021;Enero;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);916;2021-01
2021;Enero;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);1157;2021-01
2021;Enero;PALACIO DE QUINTANAR;562;2021-01
2021;Enero;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);1813;2021-01
2021;Enero;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;12;2021-01
2021;Febrero;CENTRO CULTURAL MIGUEL DELIBES (programación propia);0;2021-02
2021;Febrero;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);0;2021-02
2021;Febrero;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;0;2021-02
2021;Febrero;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);0;2021-02
2021;Febrero;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;0;2021-02
2021;Febrero;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);0;2021-02
2021;Febrero;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);535;2021-02
2021;Febrero;PALACIO DE QUINTANAR;0;2021-02
2021;Marzo;CENTRO CULTURAL MIGUEL DELIBES (programación propia);2790;2021-03
2021;Marzo;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;254;2021-03
2021;Marzo;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);1222;2021-03
2021;Marzo;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);7643;2021-03
2021;Marzo;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;340;2021-03
2021;Marzo;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);1521;2021-03
2021;Marzo;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);1818;2021-03
2021;Marzo;PALACIO DE QUINTANAR;348;2021-03
2021;Abril;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);2548;2021-04
2021;Abril;PALACIO DE QUINTANAR;313;2021-04
2021;Abril;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;524;2021-04
